city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
krakow,1,45.0,3.0,1.0,5.0,2022.0,50.0453845,19.9921031,3.99,2.0,0.047,0.676,0.575,0.44,0.607,1.299,0.745,brick,1,1,1,1,0,0,"[670500, 670500, 670500, 670500, 760500, 760500, 760500]"
krakow,1,42.75,2.0,1.0,7.0,2021.0,50.0487044,19.9681022,2.24,19.0,0.496,0.351,0.694,0.255,0.138,1.198,0.477,brick,1,1,1,1,0,0,"[1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000]"
krakow,3,64.0,2.0,1.0,2.0,1930.0,50.0667821,19.9494728,1.5,43.0,0.268,0.184,0.279,0.862,0.057,0.848,0.186,brick,0,1,1,0,0,1,"[1050000, 1050000, 1050000, 1050000, 1050000, 1050000, 1050000]"
krakow,3,46.0,2.0,4.0,4.0,1920.0,50.06650925,19.95697409,1.82,30.0,0.295,0.339,0.031,0.605,0.038,0.407,0.43,brick,1,0,1,0,0,0,"[1049000, 950000, 950000, 950000, 995000, 899000, 899000]"
krakow,1,49.1,2.0,5.0,5.0,2020.0,50.051,19.945,0.67,151.0,0.161,0.463,0.328,0.373,0.011,0.535,0.154,brick,1,0,1,1,0,0,"[981951, 981951, 981951, 981951, 1104700, 1104700, 1104700]"
krakow,1,68.0,2.0,4.0,5.0,2008.0,50.0469169,19.9507266,1.28,53.0,0.128,0.611,0.256,0.701,0.059,0.859,0.196,brick,1,1,0,1,0,0,"[1400000, 1400000, 1500000, 1500000, 1500000, 1500000, 1500000]"
krakow,1,50.95,2.0,2.0,7.0,2020.0,50.05007789,19.95874643,1.56,21.0,0.259,0.32,0.632,0.389,0.1,0.632,0.331,brick,1,1,1,1,0,0,"[915000, 915000, 915000, 915000, 915000, 915000, 1049000]"
krakow,3,36.7,2.0,3.0,4.0,1915.0,50.0635065,19.9328658,1.0,177.0,0.122,0.159,0.212,0.266,0.026,0.212,0.073,brick,0,0,1,0,0,0,"[810000, 810000, 810000, 810000, 810000, 810000, 810000]"
krakow,3,94.2,4.0,3.0,4.0,1915.0,50.0635065,19.9328658,1.0,177.0,0.122,0.159,0.212,0.266,0.026,0.212,0.073,brick,0,0,1,0,0,0,"[1507200, 1507200, 1507200, 1507200, 1507200, 1507200, 1507200]"
krakow,1,34.59,2.0,4.0,5.0,2022.0,50.0449412,19.957298,1.77,28.0,0.21,0.563,0.257,0.554,0.018,1.146,0.053,brick,1,0,0,1,0,0,"[847455, 847455, 847455, 847455, 847455, 847455, 847455]"
krakow,1,32.98,1.0,2.0,5.0,2021.0,50.0722996,19.9556123,2.25,12.0,0.511,0.375,0.307,0.365,0.197,0.961,0.097,brick,1,1,1,1,0,0,"[659270, 742050, 742050, 742050, 808010, 808010, 808010]"
krakow,3,94.2,4.0,5.0,5.0,1936.0,50.0577001,19.9263671,0.9,24.0,0.237,0.177,0.178,0.79,0.142,0.72,0.157,brick,1,0,0,1,0,1,"[1600000, 1600000, 1600000, 1600000, 1600000, 1600000, 1600000]"
krakow,1,78.0,3.0,4.0,4.0,2009.0,50.08409,19.90352,4.06,12.0,0.102,0.989,0.06,0.207,0.3,1.393,0.428,brick,1,1,1,1,0,0,"[950000, 950000, 1200000, 1200000, 1200000, 1200000, 1200000]"
krakow,2,49.15,2.0,5.0,5.0,2020.0,50.0472809,19.9407235,0.91,54.0,0.183,0.088,0.505,0.075,0.113,0.169,0.063,brick,1,1,1,1,0,0,"[982951, 1104701, 1104701, 1104701, 1104701, 1104701, 1104701]"
krakow,1,33.8,1.0,2.0,5.0,2020.0,50.0692621,19.95353222,1.89,26.0,0.189,0.345,0.391,0.556,0.217,0.786,0.362,brick,1,1,1,1,0,0,"[760500, 760500, 760500, 760500, 828100, 828100, 828100]"
poznan,1,70.92,4.0,2.0,4.0,2008.0,52.39442637,16.98454857,3.64,9.0,0.495,0.97,0.399,0.387,0.196,2.327,0.195,brick,1,0,1,0,0,0,"[809000, 809000, 795000, 795000, 795000, 795000, 795000]"
poznan,1,61.99,3.0,1.0,13.0,2014.0,52.3600021,16.9075143,5.66,3.0,0.625,1.116,0.593,0.312,0.681,1.021,0.232,brick,1,1,0,1,0,1,"[669000, 669000, 669000, 669000, 669000, 669000, 669000]"
poznan,3,98.9,5.0,1.0,4.0,1920.0,52.4029998,16.903429,2.25,23.0,0.116,0.573,0.339,0.779,0.139,1.1,0.326,brick,0,0,1,0,0,1,"[839000, 849000, 849000, 849000, 849000, 849000, 849000]"
bialystok,2,54.21,3.0,2.0,4.0,1969.0,53.14077246,23.13122463,1.25,20.0,0.165,0.398,0.168,0.298,0.465,0.985,0.16,brick,0,0,1,0,0,1,"[345000, 345000, 345000, 345000, 345000, 345000, 345000]"
bialystok,3,44.75,2.0,2.0,3.0,1956.0,53.12349577,23.1717968,2.08,28.0,0.121,0.197,0.195,0.205,0.108,0.765,0.067,brick,1,0,0,0,0,0,"[525000, 499000, 499000, 499000, 499000, 499000, 499000]"
bialystok,1,49.63,2.0,7.0,7.0,2012.0,53.1463616,23.1329616,1.66,16.0,0.233,0.45,0.583,0.231,0.176,1.465,0.157,brick,1,0,1,1,0,1,"[486000, 486000, 486000, 486000, 486000, 486000, 486000]"
bialystok,2,54.1,3.0,2.0,3.0,1972.0,53.1405149,23.1618405,1.36,20.0,0.183,0.454,0.25,0.073,0.241,0.43,0.376,brick,0,0,1,0,0,1,"[459000, 459000, 459000, 459000, 459000, 459000, 459000]"
