city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,2,52.0,2.0,2.0,2.0,2001.0,53.4419681,14.4860282,5.38,6.0,0.877,1.332,0.264,0.368,0.058,2.963,0.268,brick,1,1,0,0,0,0,450000
szczecin,1,68.0,3.0,2.0,3.0,2001.0,53.4613134,14.5425304,4.39,3.0,0.591,0.972,0.431,0.551,0.024,2.253,0.119,brick,1,0,1,0,0,1,715000
szczecin,3,48.0,2.0,2.0,2.0,1935.0,53.4503163,14.5010526,4.97,12.0,0.208,0.956,0.122,0.577,0.215,2.16,0.094,brick,0,0,0,0,0,1,385000
szczecin,3,76.64,4.0,4.0,4.0,1907.0,53.427881,14.5340819,1.85,25.0,0.182,0.637,0.204,0.453,0.135,0.646,0.023,brick,1,1,1,0,0,1,650000
szczecin,2,65.17,2.0,2.0,4.0,2001.0,53.4265537,14.5529795,0.64,62.0,0.28,0.298,0.155,0.126,0.074,0.654,0.111,brick,1,0,0,1,0,0,850000
szczecin,2,37.5,2.0,3.0,4.0,1970.0,53.399444,14.526111,3.53,8.0,0.109,1.004,0.153,0.178,0.166,2.296,0.141,brick,1,0,0,0,0,1,420000
szczecin,2,58.23,3.0,1.0,2.0,2016.0,53.4782809,14.5408938,6.25,2.0,1.336,2.68,1.045,0.643,0.477,3.031,0.411,brick,1,1,1,0,0,0,699000
szczecin,2,69.91,4.0,11.0,11.0,1976.0,53.4025764,14.5268005,3.24,11.0,0.309,0.656,0.504,0.374,0.28,1.945,0.339,concreteSlab,1,0,0,1,0,1,579000
szczecin,2,64.27,3.0,3.0,5.0,1988.0,53.4314173,14.5418533,1.55,74.0,0.236,0.628,0.192,0.196,0.039,0.249,0.011,concreteSlab,1,1,1,0,0,1,615000
szczecin,3,48.0,2.0,2.0,2.0,1935.0,53.44984335,14.50148027,4.92,11.0,0.243,0.897,0.114,0.634,0.258,2.113,0.108,brick,0,1,0,0,0,1,385000
szczecin,2,87.0,4.0,3.0,3.0,2004.0,53.461295,14.546979,4.31,3.0,0.747,1.182,0.598,0.64,0.318,2.089,0.356,brick,1,1,1,0,0,0,829000
szczecin,2,47.09,3.0,1.0,8.0,1970.0,53.4231294,14.5574123,0.24,61.0,0.266,0.518,0.255,0.183,0.064,0.747,0.412,concreteSlab,1,0,1,1,0,1,549000
szczecin,2,70.3,3.0,9.0,11.0,1988.0,53.4293561,14.5113301,3.35,14.0,0.269,1.364,0.247,0.122,0.388,1.589,0.194,concreteSlab,1,0,1,1,0,0,689000
szczecin,2,91.0,4.0,2.0,4.0,1932.0,53.465463,14.5932507,5.14,7.0,0.183,0.23,0.329,1.119,0.343,1.027,0.182,brick,1,0,0,0,0,1,512000
szczecin,1,75.33,3.0,1.0,2.0,2020.0,53.41078952,14.51008892,3.65,1.0,0.44,1.329,0.652,0.93,0.62,1.745,0.631,brick,1,1,1,0,0,0,999000
szczecin,3,96.16,3.0,2.0,4.0,1895.0,53.42840215,14.54091576,1.44,57.0,0.037,0.532,0.212,0.224,0.146,0.204,0.158,brick,1,0,0,0,0,1,710000
szczecin,2,79.82,3.0,2.0,4.0,2010.0,53.4335341,14.4830325,5.29,1.0,1.303,1.238,0.861,0.716,0.901,3.203,0.436,brick,1,1,0,1,0,0,820000
szczecin,3,65.0,2.0,1.0,3.0,1870.0,53.4339996,14.542946,1.68,72.0,0.332,0.442,0.379,0.186,0.042,0.224,0.206,brick,1,1,0,0,0,1,637000
szczecin,2,43.3,2.0,5.0,5.0,1970.0,53.4264583,14.5512887,0.73,58.0,0.391,0.199,0.043,0.238,0.141,0.612,0.113,concreteSlab,0,0,1,0,0,0,309000
szczecin,1,50.0,2.0,5.0,5.0,2013.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,brick,1,0,1,1,0,0,580000
szczecin,2,61.36,4.0,2.0,2.0,2002.0,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,brick,1,0,0,0,0,0,615000
szczecin,2,96.4,4.0,1.0,1.0,1960.0,53.4974593,14.602224,8.68,0.0,0.645,1.855,0.761,0.901,1.148,4.175,1.147,brick,1,1,1,0,0,1,595000
szczecin,2,47.09,3.0,1.0,7.0,1968.0,53.423309,14.558681,0.15,56.0,0.228,0.604,0.327,0.155,0.04,0.7,0.377,concreteSlab,1,1,1,1,0,1,549000
szczecin,1,66.78,4.0,2.0,6.0,2018.0,53.41574355,14.54045445,1.6,5.0,0.288,0.765,0.535,0.248,0.258,0.742,0.178,brick,1,1,1,1,0,0,790000
szczecin,1,67.37,3.0,4.0,6.0,2018.0,53.4139113,14.5427084,1.61,3.0,0.501,0.973,0.713,0.067,0.052,0.988,0.215,brick,1,1,1,1,0,0,790000
szczecin,3,59.16,2.0,3.0,4.0,1930.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,brick,0,0,1,0,0,1,389000
szczecin,2,45.3,2.0,7.0,8.0,1970.0,53.428561,14.5141183,3.16,11.0,0.463,1.304,0.405,0.157,0.276,1.5,0.399,concreteSlab,0,0,1,1,0,1,440000
szczecin,2,53.22,2.0,2.0,2.0,2001.0,53.4421356,14.4847888,5.46,7.0,0.902,1.414,0.348,0.322,0.099,3.045,0.352,brick,1,1,0,0,0,0,499000
szczecin,1,36.14,2.0,1.0,5.0,2013.0,53.4572067,14.5422931,3.96,4.0,0.4,0.675,0.509,0.361,0.433,1.824,0.507,brick,1,1,0,1,0,0,439000
szczecin,3,39.12,2.0,3.0,4.0,1920.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,0,0,0,0,0,1,265000
szczecin,3,55.02,3.0,3.0,4.0,1940.0,53.4604452,14.5913118,4.58,1.0,0.668,0.751,0.32,1.033,0.719,0.887,0.692,brick,0,0,0,0,0,1,315000
szczecin,2,50.0,3.0,3.0,4.0,2009.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,concreteSlab,1,0,0,0,0,1,570000
szczecin,1,58.68,2.0,2.0,5.0,2010.0,53.4213319,14.5053902,3.69,7.0,0.157,0.888,0.772,0.723,0.448,1.745,0.543,brick,1,0,1,1,0,0,770000
szczecin,3,26.79,2.0,5.0,5.0,1930.0,53.41966535,14.54780007,0.97,15.0,0.249,0.252,0.325,0.507,0.305,1.073,0.288,brick,1,0,0,1,0,0,430000
szczecin,2,40.0,2.0,4.0,4.0,2020.0,53.3921376,14.4861837,6.05,0.0,1.849,3.392,0.774,1.801,0.729,4.307,0.778,concreteSlab,1,0,1,1,0,0,569000
szczecin,3,37.37,2.0,1.0,3.0,1930.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,brick,0,0,0,0,0,1,265000
szczecin,2,37.2,2.0,2.0,4.0,2001.0,53.43522975,14.57099899,1.47,13.0,0.315,1.046,0.287,0.471,0.212,0.9,0.218,brick,1,1,0,0,0,1,399000
szczecin,3,80.49,4.0,3.0,3.0,1920.0,53.43157,14.61499,3.69,0.0,2.73,3.98,2.873,3.1,2.798,3.542,2.672,brick,0,0,0,0,0,0,426000
szczecin,3,80.61,3.0,3.0,3.0,1920.0,53.4360679,14.5450513,1.76,45.0,0.083,0.257,0.294,0.151,0.102,0.256,0.301,brick,1,0,0,0,0,1,717000
szczecin,1,102.75,5.0,3.0,5.0,2000.0,53.4363301,14.5648962,1.46,16.0,0.398,0.654,0.543,0.214,0.046,0.805,0.273,brick,1,0,1,0,0,0,850000
szczecin,3,85.89,4.0,1.0,4.0,1930.0,53.4241795,14.5485858,0.82,46.0,0.144,0.189,0.207,0.082,0.118,0.672,0.126,brick,1,0,1,0,0,1,679000
szczecin,3,44.73,2.0,1.0,3.0,1930.0,53.44593035,14.56016773,2.51,8.0,0.114,0.731,0.728,0.091,0.484,1.637,0.19,brick,0,1,0,0,0,1,265000
szczecin,3,67.0,2.0,4.0,4.0,1930.0,53.4393389349746,14.5323882132537,2.59,20.0,0.047,0.116,0.672,0.259,0.191,0.215,0.452,brick,0,0,0,0,0,1,499000
szczecin,2,42.0,2.0,2.0,4.0,1989.0,53.458889,14.531111,4.41,7.0,0.349,0.49,0.409,0.439,0.411,1.844,0.481,concreteSlab,1,0,0,0,0,1,485000
szczecin,3,53.0,2.0,3.0,3.0,1890.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,1,0,0,0,0,0,629000
szczecin,3,64.0,3.0,2.0,4.0,1958.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,brick,0,0,0,0,0,1,430000
szczecin,3,48.05,2.0,3.0,3.0,1939.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,brick,0,1,0,0,0,1,350000
szczecin,2,61.31,3.0,3.0,3.0,2020.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,brick,1,1,1,1,0,0,650000
szczecin,3,42.79,2.0,2.0,3.0,1930.0,53.3980728,14.5247091,3.7,6.0,0.134,1.176,0.071,0.115,0.024,2.463,0.076,brick,0,0,0,0,0,1,299000
szczecin,2,48.0,2.0,2.0,4.0,1974.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,concreteSlab,1,0,1,0,0,1,535000
szczecin,2,42.0,2.0,2.0,2.0,1950.0,53.4572946,14.5691746,3.81,1.0,0.5,0.559,0.055,0.84,0.561,0.858,0.546,brick,0,1,0,0,0,1,320000
szczecin,1,32.4,1.0,3.0,6.0,2012.0,53.4231443,14.5383887,1.5,21.0,0.062,0.5,0.097,0.606,0.051,0.581,0.111,brick,1,1,0,1,0,0,485000
szczecin,2,38.14,2.0,5.0,11.0,1980.0,53.4057264,14.5005324,4.46,5.0,0.649,1.951,0.101,1.147,0.281,2.589,0.047,concreteSlab,1,0,0,1,0,1,399000
szczecin,2,47.65,2.0,6.0,11.0,1972.0,53.4125493,14.52746568,2.53,10.0,0.193,0.503,0.479,0.149,0.123,0.855,0.451,concreteSlab,0,0,0,1,0,0,390000
szczecin,2,84.0,4.0,4.0,5.0,1996.0,53.445816,14.549937,2.6,14.0,0.413,0.566,0.388,0.387,0.124,1.189,0.052,brick,0,0,1,0,0,1,590000
szczecin,3,94.41,3.0,2.0,3.0,1920.0,53.4446572,14.5409992,2.71,9.0,0.489,0.714,0.252,0.221,0.04,0.726,0.227,brick,1,0,1,0,0,1,750000
szczecin,1,65.63,3.0,2.0,2.0,2011.0,53.4778031,14.5424931,6.17,2.0,1.296,2.651,0.949,0.532,0.366,2.914,0.442,brick,1,1,1,0,0,1,694000
szczecin,2,36.6,2.0,8.0,10.0,1990.0,53.4470211,14.5412934,2.93,11.0,0.235,0.939,0.081,0.266,0.166,0.872,0.038,concreteSlab,1,0,1,1,0,0,385000
szczecin,1,88.22,3.0,1.0,2.0,2000.0,53.4490931,14.5168436,4.09,0.0,0.509,1.039,0.998,0.676,0.661,1.192,0.668,brick,1,1,1,0,0,0,980000
